Date,Open,High,Low,Close,Volume
2012-12-04,0.99476,0.99535,0.99144,0.99307,64571
2012-12-05,0.99307,0.99408,0.99073,0.99198,42614
2012-12-06,0.99198,0.99257,0.98916,0.99166,64082
2012-12-07,0.99160,0.99329,0.98754,0.98826,60687
2012-12-10,0.98711,0.98877,0.98604,0.98613,57574
2012-12-11,0.98615,0.98795,0.98566,0.98611,58745
2012-12-12,0.98612,0.98652,0.98253,0.98459,60501
2012-12-13,0.98453,0.98548,0.98239,0.98444,59580
2012-12-14,0.98445,0.98649,0.98310,0.98544,61305
2012-12-17,0.98561,0.98807,0.98312,0.98365,59171
2012-12-18,0.98363,0.98598,0.98313,0.98588,55979
2012-12-19,0.98589,0.98907,0.98485,0.98903,61380
2012-12-20,0.98901,0.98957,0.98686,0.98751,63123
2012-12-21,0.98763,0.99525,0.98741,0.99309,66789
2012-12-24,0.99326,0.99442,0.99096,0.99106,40197
2012-12-26,0.99187,0.99503,0.99118,0.99356,31283
2012-12-27,0.99356,0.99577,0.99075,0.99498,63363
2012-12-28,0.99497,0.99700,0.99377,0.99678,59377
2012-12-31,0.99532,0.99698,0.99091,0.99476,49824
2013-01-01,0.99281,0.99313,0.99200,0.99266,511
2013-01-02,0.99266,0.99430,0.98360,0.98541,65782
2013-01-03,0.98537,0.98869,0.98420,0.98852,65213
2013-01-04,0.98851,0.99230,0.98478,0.98708,68953
2013-01-07,0.98613,0.98844,0.98524,0.98577,63720
2013-01-08,0.98576,0.98823,0.98426,0.98659,65100
2013-01-09,0.98659,0.98805,0.98541,0.98771,66362
2013-01-10,0.98772,0.98796,0.98272,0.98317,72518
2013-01-11,0.98324,0.98528,0.98151,0.98472,72594
2013-01-14,0.98443,0.98657,0.98306,0.98396,72728
2013-01-15,0.98398,0.98663,0.98308,0.98427,81508
2013-01-16,0.98425,0.98772,0.98369,0.98618,74155
2013-01-17,0.98619,0.98853,0.98424,0.98558,77011
2013-01-18,0.98556,0.99461,0.98533,0.99147,77212
