Date,Open,High,Low,Close,Volume
2015-01-01,316.67,321.00,312.60,315.38,4791.69527297
2015-01-02,315.39,317.01,311.96,315.95,3195.62096715
2015-01-03,315.95,316.83,297.00,300.00,12244.15239054
2015-01-04,299.67,300.54,255.00,267.46,44672.64888604
2015-01-05,267.45,280.00,256.88,276.80,16629.28405287
2015-01-06,276.80,276.80,276.80,276.80,0.00000000
2015-01-07,276.80,276.80,276.80,276.80,0.00000000
2015-01-08,276.80,276.80,276.80,276.80,0.00000000
2015-01-09,276.80,276.80,276.80,276.80,0.00000000
2015-01-10,276.80,305.00,271.03,278.86,36858.98591670
2015-01-11,278.86,280.94,270.70,271.00,10520.98430835
2015-01-12,271.00,272.39,262.08,270.97,12942.80666205
2015-01-13,270.98,272.43,216.00,232.55,47094.80347081
2015-01-14,232.54,239.09,152.40,180.79,115814.46241602
2015-01-15,181.48,233.90,161.10,218.83,89350.93392063
2015-01-16,218.81,223.15,192.00,206.60,47898.60553686
2015-01-17,206.84,212.84,192.17,198.56,21882.53169720
2015-01-18,198.56,222.00,195.02,209.34,17653.65114987
2015-01-19,209.33,220.94,207.70,212.28,12593.86236883
2015-01-20,212.27,219.00,201.98,211.78,15778.39137649
2015-01-21,211.78,218.00,205.00,214.53,14106.11703234
2015-01-22,214.97,239.00,213.79,233.87,33242.66930495
2015-01-23,233.83,240.00,225.55,232.90,15348.62687902
2015-01-24,232.45,249.49,230.00,244.77,14463.44648818
2015-01-25,244.66,255.00,241.33,247.91,24221.95811475
2015-01-26,248.26,309.90,246.00,262.98,59002.59367878
2015-01-27,263.47,278.51,243.10,265.59,22733.92298974
2015-01-28,265.59,266.50,233.00,239.01,19677.65120057
2015-01-29,239.00,243.85,220.00,235.45,30597.35635113
2015-01-30,235.27,244.98,227.26,231.60,22805.82376581
2015-01-31,231.60,234.80,225.52,230.59,14230.44236300
2015-02-01,230.58,230.98,208.48,224.00,19692.95197701
2015-02-02,224.00,233.00,221.79,226.10,16873.68767157
2015-02-03,226.75,244.39,225.73,233.57,17508.22775175
2015-02-04,232.37,232.72,220.02,224.83,17963.52544257
2015-02-05,224.87,231.00,210.43,216.25,14090.75100924
2015-02-06,216.95,225.86,210.59,223.01,10804.94368356
2015-02-07,223.01,231.14,220.34,227.95,7837.55119673
2015-02-08,227.95,232.89,217.28,222.49,16416.19667884
2015-02-09,222.49,225.99,215.00,219.80,15846.47776221
2015-02-10,219.71,223.00,215.00,220.11,9492.62276202
2015-02-11,220.48,223.43,218.00,222.78,11440.25412050
2015-02-12,222.78,223.00,217.99,222.54,6440.23435457
2015-02-13,222.54,242.35,220.78,236.99,21187.38819203
2015-02-14,236.98,251.70,235.10,246.57,15075.03135627
2015-02-15,246.50,267.92,238.63,243.97,29186.19785429
2015-02-16,243.97,244.14,227.75,237.38,17141.04523293
2015-02-17,237.72,248.78,232.01,245.13,12548.29267720
2015-02-18,243.99,247.00,232.01,234.97,13672.28507563
2015-02-19,234.97,243.42,232.24,242.03,7625.26547552
2015-02-20,242.17,249.32,239.13,243.97,11346.92504941
2015-02-21,243.97,247.80,242.13,244.07,3785.29892254
2015-02-22,244.52,247.42,232.48,234.15,6983.87067982
2015-02-23,234.15,238.35,232.05,237.45,5415.54718843
2015-02-24,237.49,241.00,236.07,240.18,6197.82899075
2015-02-25,240.01,240.98,236.00,238.89,3953.28402699
2015-02-26,238.89,238.99,234.01,237.65,5448.59444162
2015-02-27,237.65,256.02,235.54,254.54,20675.59648707
2015-02-28,254.54,256.15,245.20,252.00,7059.09349519
2015-03-01,252.00,254.56,245.00,247.87,4461.22412761
2015-03-02,247.87,266.80,245.68,264.96,16066.28060603
2015-03-03,264.96,280.00,264.81,279.00,24083.49752500
2015-03-04,279.00,284.95,269.77,279.38,13519.47714215
2015-03-05,279.94,280.60,262.20,268.44,12103.07121536
2015-03-06,268.44,280.50,262.70,272.12,10400.72994334
2015-03-07,271.64,279.00,270.00,276.46,5167.55996218
2015-03-08,276.90,279.48,271.12,274.75,5322.73339041
2015-03-09,274.75,287.63,273.83,287.63,10596.76827615
2015-03-10,287.62,296.80,283.54,293.00,14287.77105473
2015-03-11,292.97,294.83,285.83,294.50,6529.70287758
2015-03-12,294.50,297.95,289.00,297.22,7799.69929736
2015-03-13,296.70,297.28,282.99,288.15,9715.30412346
2015-03-14,287.79,289.28,280.46,283.43,6126.23829581
2015-03-15,283.61,286.00,281.40,285.87,2116.53791064
2015-03-16,285.87,294.26,285.20,289.00,6710.74281140
2015-03-17,288.84,292.99,286.10,288.26,5685.61898913
2015-03-18,288.28,288.42,261.75,265.58,15381.29466235
2015-03-19,265.58,266.21,249.00,254.93,20231.37196878
2015-03-20,253.88,265.27,252.87,262.97,7526.86727405
2015-03-21,262.97,263.37,256.25,260.00,4787.06118998
2015-03-22,259.60,269.37,258.30,268.25,4016.04087218
